engine,model_id,dataset,examples,warm_exact_rate,warm_payload_exact_rate,int8_exact_rate,int8_first_token_rate,int8_common_prefix_mean,int8_f1_delta_mean,native_bytes_mean,restart_recovered,request_hot_p50_ms,request_hot_p95_ms,request_hot_p99_ms,request_warm_p50_ms,request_warm_p95_ms,request_warm_p99_ms,request_cold_p50_ms,request_cold_p95_ms,request_cold_p99_ms,transition_hot_p50_ms,transition_hot_p95_ms,transition_hot_p99_ms,transition_warm_p50_ms,transition_warm_p95_ms,transition_warm_p99_ms,transition_cold_p50_ms,transition_cold_p95_ms,transition_cold_p99_ms
mlx-lm,mlx-community/Qwen3-0.6B-4bit,2wikimultihopqa,20,1.0,,0.15,0.7,6.2,-0.021482665940870276,39165952.0,True,328.03289557341486,347.2092981799507,429.9030931922606,658.23597938288,710.3390096803196,717.3647355125286,666.5474789915606,711.9256412843243,757.5265282066538,0.0008330680429935455,0.0010566902346909048,0.0012777023948729034,388.66187492385507,475.58020369615406,475.73784075211734,1238.0328748840839,1406.9642123417,1453.0677759391256
mlx-lm,mlx-community/Qwen3-0.6B-4bit,hotpotqa,20,1.0,,0.15,0.9,9.05,-0.009293345543345544,43157094.4,True,328.64931295625865,356.8153814063408,390.43217626633117,707.0080621633679,817.43470847141,830.5421752622351,685.7066249940544,731.2262601568364,750.5291520315222,0.000875093974173069,0.0011111027561128142,0.0015221606008708468,385.6885210843757,436.0735895228573,442.8921514027752,1285.2240625070408,1389.1908329096623,1389.9527329602279
mlx-lm,mlx-community/Qwen3-0.6B-4bit,qasper,20,1.0,,0.15,0.8,7.1,0.016316437843426675,42503372.8,True,325.87322883773595,338.497727480717,340.29604556504637,672.1890413900837,713.6459581088276,726.5393580775708,659.9902290618047,702.5920597137883,703.7057447666302,0.0010828953236341476,0.001338042784482241,0.0014012143947184086,406.1479583615437,441.9867080752738,460.23050790885463,1244.1794789629057,1339.304995839484,1349.8974327230826
mlx-lm,mlx-community/Qwen3-1.7B-4bit,qasper,20,1.0,,0.2,0.95,8.85,-0.016327901694034416,42503372.8,True,337.49814541079104,362.89123377064243,363.0860466999002,723.1848749797791,744.0627877600491,754.8015247844158,725.5261455429718,755.9387854998931,764.1929243458435,0.0009374925866723061,0.0012023490853607659,0.001740457955747842,409.4334369292483,483.36351265897974,488.2315026107244,1274.9185210559517,1329.1880436474457,1361.1467088432983
sglang-mlx,mlx-community/Qwen3-0.6B-4bit,2wikimultihopqa,20,1.0,,0.15,0.7,6.35,-0.019193288651492984,39165952.0,True,310.30477047897875,339.6416020463221,341.79775403579697,524.5847711339593,565.4746813117526,567.4572363006882,549.1944995010272,626.5647789114155,631.8060557474382,0.0010004732757806778,0.0014202785678207874,0.0014841579832136629,196.43566641025245,275.2165542915464,282.9997779801488,889.8451040731743,992.4356462666766,1088.096529250033
sglang-mlx,mlx-community/Qwen3-0.6B-4bit,hotpotqa,20,1.0,,0.2,1.0,10.15,0.004232295482295483,43157094.4,True,320.38847892545164,347.87997498642653,355.60879500117153,542.7403333596885,592.171033367049,601.5518403588794,563.0227704532444,601.2470730114728,603.351481789723,0.0011039664968848228,0.001341302413493395,0.0014681764878332613,191.17535394616425,255.01236616401002,259.6552061266266,929.3392295949161,1006.59893930424,1016.5185543010011
sglang-mlx,mlx-community/Qwen3-0.6B-4bit,qasper,20,1.0,,0.15,0.85,7.15,0.016933003962281125,42503372.8,True,307.07377090584487,337.45124593842775,338.0230827862397,537.8372920677066,603.506562311668,624.341646025423,556.7169165005907,671.6252876678482,700.668623750098,0.0008544884622097015,0.0012331525795161728,0.001613066997379064,198.86345812119544,245.08970141178003,307.4843403021804,918.7610414810479,1037.9453751374967,1045.653041510377
sglang-mlx,mlx-community/Qwen3-1.7B-4bit,qasper,20,1.0,,0.2,0.9,10.75,-0.02358383416735819,42503372.8,True,374.0090628853068,400.0434729619884,507.44816089747457,613.7306879973039,632.1714312420227,638.7804863345809,634.0951244346797,725.7157942513004,741.4965915726498,0.0009585637599229813,0.0013938406482338908,0.001678732223808765,224.73687503952533,284.75254352670163,289.5532422652468,933.8992919074371,1009.087030752562,1020.2373398421331
vllm-metal,mlx-community/Qwen3-0.6B-4bit,2wikimultihopqa,20,1.0,1.0,0.3,0.7,9.0,-0.006355042016806726,39544422.4,True,350.81552097108215,375.86509730899706,383.09545315103605,738.0426875315607,803.1564836855978,808.1354965921491,746.6247085249051,804.2155286297202,805.8797392249107,0.0011255033314228058,0.0016311765648424628,0.0017261994071304798,394.19997949153185,456.29988585133106,472.26701075676823,1182.1244994644076,1330.0058273016475,1359.8458655062132
vllm-metal,mlx-community/Qwen3-0.6B-4bit,hotpotqa,20,1.0,1.0,0.35,0.9,10.4,0.007010803206455379,43306188.8,True,365.70491653401405,380.2423075423576,382.36676153959706,737.1216880856082,832.1121917455457,836.8689048173837,719.4004999473691,801.3560638413765,821.019512724597,0.00100000761449337,0.0014695455320179462,0.001627563033252954,405.3989789681509,455.00999779906124,473.07199947070325,1237.812458537519,1368.9552309690043,1428.3286798140034
