engine,dataset,regime,paired_requests,exact_output_parity,mean_f1_delta_e2_minus_e0,mean_absolute_f1_delta
mlx-lm,2wikimultihopqa,cold_one_shot,20,1.0,0.0,0.0
mlx-lm,2wikimultihopqa,concurrent_shared_resource,160,1.0,0.0,0.0
mlx-lm,2wikimultihopqa,multi_query_same_resource,60,1.0,0.0,0.0
mlx-lm,2wikimultihopqa,warm_repeated,40,1.0,0.0,0.0
mlx-lm,hotpotqa,cold_one_shot,20,1.0,0.0,0.0
mlx-lm,hotpotqa,concurrent_shared_resource,160,1.0,0.0,0.0
mlx-lm,hotpotqa,multi_query_same_resource,60,1.0,0.0,0.0
mlx-lm,hotpotqa,warm_repeated,40,1.0,0.0,0.0
mlx-lm,qasper,cold_one_shot,20,1.0,0.0,0.0
mlx-lm,qasper,concurrent_shared_resource,160,1.0,0.0,0.0
mlx-lm,qasper,multi_query_same_resource,60,1.0,0.0,0.0
mlx-lm,qasper,warm_repeated,40,1.0,0.0,0.0
sglang-mlx,2wikimultihopqa,cold_one_shot,20,1.0,0.0,0.0
sglang-mlx,2wikimultihopqa,concurrent_shared_resource,160,1.0,0.0,0.0
sglang-mlx,2wikimultihopqa,multi_query_same_resource,60,1.0,0.0,0.0
sglang-mlx,2wikimultihopqa,warm_repeated,40,1.0,0.0,0.0
sglang-mlx,hotpotqa,cold_one_shot,20,1.0,0.0,0.0
sglang-mlx,hotpotqa,concurrent_shared_resource,160,1.0,0.0,0.0
sglang-mlx,hotpotqa,multi_query_same_resource,60,1.0,0.0,0.0
sglang-mlx,hotpotqa,warm_repeated,40,1.0,0.0,0.0
sglang-mlx,qasper,cold_one_shot,20,1.0,0.0,0.0
sglang-mlx,qasper,concurrent_shared_resource,160,1.0,0.0,0.0
sglang-mlx,qasper,multi_query_same_resource,60,1.0,0.0,0.0
sglang-mlx,qasper,warm_repeated,40,1.0,0.0,0.0
vllm-metal,2wikimultihopqa,cold_one_shot,20,1.0,0.0,0.0
vllm-metal,2wikimultihopqa,concurrent_shared_resource,160,1.0,0.0,0.0
vllm-metal,2wikimultihopqa,multi_query_same_resource,60,1.0,0.0,0.0
vllm-metal,2wikimultihopqa,warm_repeated,40,1.0,0.0,0.0
vllm-metal,hotpotqa,cold_one_shot,20,1.0,0.0,0.0
vllm-metal,hotpotqa,concurrent_shared_resource,160,1.0,0.0,0.0
vllm-metal,hotpotqa,multi_query_same_resource,60,1.0,0.0,0.0
vllm-metal,hotpotqa,warm_repeated,40,1.0,0.0,0.0
vllm-metal,qasper,cold_one_shot,20,1.0,0.0,0.0
vllm-metal,qasper,concurrent_shared_resource,160,1.0,0.0,0.0
vllm-metal,qasper,multi_query_same_resource,60,1.0,0.0,0.0
vllm-metal,qasper,warm_repeated,40,1.0,0.0,0.0
