git_sha,seed,model_tier,position_mode,k_storage_mode,logical_offset_policy,stage,example_id,native_context,logical_context,position_capacity,overlap_fraction,encoding_chunk_size,routing_chunk_size,materialization_budget,maximum_native_operation,native_limit_violations,dense_loss,disabled_loss,loss,accuracy,recovered_context_benefit,evidence_chunk_recall,selected_chunks_mean,materialized_memory_tokens,encoding_cost_ratio
64f7cdf89b55d960cc96e43006c1705b98ec47e9,1,tiny,absolute,post_position,reset,reset_routed,synthetic-native-00000,32,192,192,0.0,16,8,24,16,0,0.25814542174339294,4.234914779663086,3.515289783477783,0,0.18095718695683907,0.0,3.0,24.0,1.0
64f7cdf89b55d960cc96e43006c1705b98ec47e9,1,tiny,absolute,post_position,source_relative,offset_routed,synthetic-native-00000,32,192,192,0.0,16,8,24,16,0,0.25814542174339294,4.234914779663086,4.412650108337402,0,-0.04469339624143865,0.0,3.0,24.0,1.0
64f7cdf89b55d960cc96e43006c1705b98ec47e9,1,tiny,absolute,post_position,source_relative,offset_overlap_routed,synthetic-native-00000,32,192,192,0.5,16,8,24,24,0,0.25814542174339294,4.234914779663086,4.414797782897949,0,-0.04523345133823973,0.0,3.0,24.0,1.4565217391304348
64f7cdf89b55d960cc96e43006c1705b98ec47e9,1,tiny,absolute,post_position,source_relative,offset_overlap_oracle,synthetic-native-00000,32,192,192,0.5,16,8,24,24,0,0.25814542174339294,4.234914779663086,0.06498986482620239,1,1.0485709729513288,1.0,1.0,8.0,1.4565217391304348
64f7cdf89b55d960cc96e43006c1705b98ec47e9,1,tiny,absolute,post_position,reset,reset_routed,synthetic-native-00001,32,192,192,0.0,16,8,24,16,0,0.2580576539039612,4.521842956542969,0.06129365414381027,1,1.046147726912602,0.5,3.0,24.0,1.0
64f7cdf89b55d960cc96e43006c1705b98ec47e9,1,tiny,absolute,post_position,source_relative,offset_routed,synthetic-native-00001,32,192,192,0.0,16,8,24,16,0,0.2580576539039612,4.521842956542969,4.4873762130737305,0,0.008083602016242608,0.0,3.0,24.0,1.0
64f7cdf89b55d960cc96e43006c1705b98ec47e9,1,tiny,absolute,post_position,source_relative,offset_overlap_routed,synthetic-native-00001,32,192,192,0.5,16,8,24,24,0,0.2580576539039612,4.521842956542969,4.490413188934326,0,0.007371329787451911,0.0,3.0,24.0,1.4565217391304348
64f7cdf89b55d960cc96e43006c1705b98ec47e9,1,tiny,absolute,post_position,source_relative,offset_overlap_oracle,synthetic-native-00001,32,192,192,0.5,16,8,24,24,0,0.2580576539039612,4.521842956542969,0.06711597740650177,1,1.0447821977291585,1.0,1.0,8.0,1.4565217391304348
64f7cdf89b55d960cc96e43006c1705b98ec47e9,1,tiny,absolute,post_position,reset,reset_routed,synthetic-native-00002,32,192,192,0.0,16,8,24,16,0,0.26563647389411926,4.359313488006592,3.5230977535247803,0,0.20427008080975995,0.0,3.0,24.0,1.0
64f7cdf89b55d960cc96e43006c1705b98ec47e9,1,tiny,absolute,post_position,source_relative,offset_routed,synthetic-native-00002,32,192,192,0.0,16,8,24,16,0,0.26563647389411926,4.359313488006592,0.06077360734343529,1,1.0500437298410312,1.0,3.0,24.0,1.0
64f7cdf89b55d960cc96e43006c1705b98ec47e9,1,tiny,absolute,post_position,source_relative,offset_overlap_routed,synthetic-native-00002,32,192,192,0.5,16,8,24,24,0,0.26563647389411926,4.359313488006592,0.06003541499376297,1,1.050224054851316,1.0,3.0,24.0,1.4565217391304348
64f7cdf89b55d960cc96e43006c1705b98ec47e9,1,tiny,absolute,post_position,source_relative,offset_overlap_oracle,synthetic-native-00002,32,192,192,0.5,16,8,24,24,0,0.26563647389411926,4.359313488006592,0.06406740099191666,1,1.0492391246811403,1.0,1.0,8.0,1.4565217391304348
